k,coef,se
-12,0.5448818660361653,0.4251597166631583
-11,0.10910187542082112,0.07611741216038422
-10,0.14955638581092404,0.1051645380259511
-9,0.14735442887758154,0.1022768514144948
-8,0.10147719418073965,0.09024381805202236
-7,0.0942659064576199,0.0767326061932847
-6,0.03464097837952359,0.04415727933076571
-5,0.05350736586860912,0.0455716595234479
-4,0.02299777620139139,0.039075333483295276
-3,0.04425855161325923,0.03226912908691716
-2,0.039087876583766945,0.029367877554620586
-1,0.0,0.0
0,0.001761714470796345,0.01085123875827699
1,-0.015358165873556982,0.023292284474611364
2,0.004963378308500663,0.035657245856871314
3,0.019116043557835843,0.043098661462203376
4,0.018628753673537096,0.04034810090772351
5,-0.051392080508063445,0.0912040360710713
6,-0.026461080349325913,0.07327265961365342
7,-0.021317448910618177,0.06394044422603444
8,0.01802022837818517,0.06895225435777116
9,0.010233876445313853,0.08658492893291483
10,0.013649175631063399,0.0892634349538175
11,0.029685203873303114,0.09147707936760442
12,0.044066046917597426,0.1000882082634773
13,0.06980597992866125,0.0943284312564662
