industry,tariff_shock,china_share,beta_i
Fabricated_Metal,0.1738053284470218,0.2850537115098575,0.0022493687025573195
Textile_Product_Mills,0.1444152676460463,0.4912330056939987,-0.1468243410363943
Furniture,0.1106412919923066,0.301858585521174,-0.1069574211132771
Apparel,0.1018245552642959,0.2290851294359888,-0.291546003939283
Transportation_Equipment,0.1008359727433998,0.0411161682492158,0.0356039048335699
Machinery,0.0987786059972424,0.1525171717355032,-0.008851361405417535
Electrical_Equipment,0.09848162494448,0.319477771729601,0.07928852273325049
Plastics_Rubber,0.0935202655271019,0.273502160194187,-0.027141604931392393
Nonmetallic_Mineral,0.086358189673282,0.2693110938443358,0.016403170469359907
Textile_Mills,0.0858065341481907,0.2030936659688253,-0.22945941270159054
Primary_Metal,0.0699975697843048,0.0073642813017333,-0.02128526226677252
Paper,0.0557963409632463,0.1190001004275027,-0.018385425950539158
Food,0.0515774141056822,0.0459271797978019,0.08435573524620743
Printing,0.0432773971096317,0.3997992926863652,-0.15968735667605927
Wood,0.0348638365054319,0.0956442850349272,-0.009903557187055156
Computer_Electronic,0.0284626972493201,0.2196660025752927,-0.03180569934451505
Chemical,0.0182022664972596,0.0674550082626534,0.05235551163517016
Petroleum_Coal,-0.0002576945399789,0.008010649180994,-0.010932679553301128
