dropped,beta,se,t,p
Apparel,-0.3094089530153257,0.37421946461651606,-0.8268114897026927,0.4205039583698156
Chemical,-0.3517418837656889,0.43529641932943364,-0.8080514062292103,0.430911759730638
Computer_Electronic,-0.5139296075400033,0.459507572202591,-1.1184355571694873,0.27989261030526413
Electrical_Equipment,-0.5833833919384734,0.4638032548471985,-1.2578251356400485,0.22650337601154025
Fabricated_Metal,-0.8979863439467971,0.477519564508968,-1.880522622921626,0.07836729626228145
Food,-0.3964781563923581,0.4272446243982875,-0.927988636371354,0.36720201549174836
Furniture,-0.44314242415300875,0.4501065385737101,-0.9845278532438807,0.3395107859418176
Machinery,-0.5247694413443473,0.4559961840073197,-1.1508198089129702,0.26671544310410233
Nonmetallic_Mineral,-0.5117370015126463,0.4477231601601798,-1.1429763904319012,0.26986328647957825
Paper,-0.48325844959061964,0.4370957687787422,-1.1056122802123143,0.2852424469403685
Petroleum_Coal,-0.5099369955992763,0.5176997801056576,-0.9850052389344321,0.33928337922643825
Plastics_Rubber,-0.5062847735380587,0.4483780787952632,-1.1291470245342583,0.2754813788785153
Primary_Metal,-0.4891160228855916,0.43630364259255544,-1.1210450134663563,0.278813156252391
Printing,-0.643259118753337,0.42292663997804647,-1.5209709153973552,0.14778257008694773
Textile_Mills,-0.4463230593067113,0.4216394398243292,-1.0585420080547165,0.3055285134367376
Textile_Product_Mills,-0.32162883881162013,0.4614976860342212,-0.6969240551896734,0.4958523033398077
Transportation_Equipment,-0.5619578306598171,0.462729221527287,-1.2144420635572042,0.2421994055036476
Wood,-0.4749691976701192,0.44991322891135715,-1.0556906691083285,0.3067902990438911
