dropped,beta,se,t,p
Apparel,-0.7235436056462005,0.42442016982208797,-1.7047813866845716,0.1120009796477317
Chemical,-0.898262073397811,0.48424058422443195,-1.8549913052754199,0.08641164347565788
Computer_Electronic,-1.0897949025938518,0.49581900250212413,-2.1979692127454977,0.04667124914544152
Electrical_Equipment,-1.2703042985163322,0.4479167234515908,-2.8360278417995306,0.014027633041353127
Food,-0.9385846870196558,0.4591269540385628,-2.0442813883255972,0.06172969335443268
Furniture,-1.0220119462100148,0.546191468479032,-1.8711605823064028,0.08399701306400864
Machinery,-1.1495111492145331,0.4987054335804769,-2.304990224312514,0.038302454230380256
Nonmetallic_Mineral,-1.1117860845622494,0.4848646993718291,-2.2929821164597755,0.03916535500900031
Paper,-1.0301250768239636,0.4732009211294469,-2.176929568026278,0.04850733583168343
Petroleum_Coal,-1.175914287537224,0.5560970751725721,-2.1145845573316593,0.05435325712768968
Plastics_Rubber,-1.1021339950121305,0.49856363676162624,-2.2106184922970704,0.04559901800960975
Printing,-1.2192140514781071,0.45677595398656384,-2.6691730176189847,0.019294677697631712
Textile_Mills,-0.9251666136558713,0.4941516417687554,-1.8722321964657456,0.08383916018451698
Textile_Product_Mills,-0.9717698725300994,0.708750792373556,-1.3711023437105605,0.19354880038772393
Wood,-1.0314110395854204,0.4870521420521034,-2.1176604115521642,0.054050057700762544
