check,beta,se,p
Baseline DiD (full),-0.4936847424772618,0.4359055105169376,0.2731251321143704
Baseline DiD (no Sec. 232),-1.0441569787365237,0.47678833609122656,0.04595481365049614
"Wild cluster bootstrap (full, B=1999)",-0.4936847424772618,0.4359055105169376,0.2666333166583292
"Wild cluster bootstrap (no 232, B=1999)",-1.0441569787365237,0.47678833609122656,0.05652826413206603
"Randomization inference (full, P=999)",-0.4936847424772618,0.4359055105169376,0.38538538538538536
"Randomization inference (no 232, P=999)",-1.0441569787365237,0.47678833609122656,0.16316316316316315
Placebo date 2021-02,-0.4302199689018458,0.3881672677542223,0.2831513129287586
Placebo date 2022-02,-0.4284575691198533,0.3792089051667965,0.27422076269635465
Placebo date 2023-02,-0.4518740144415344,0.38043022439552615,0.25124440127656955
Placebo date 2024-02,-0.4699892237519406,0.38061203413783845,0.23369155695917243
HC1 robust SE (full),-0.4936847424772618,0.10444187039774988,
HC1 robust SE (no 232),-1.0441569787365237,0.1162093296133646,
PPML (full),-0.1505554746916048,0.26888584187307246,0.5755316872917791
PPML (no Sec. 232),-0.6218827550909529,0.4685460901254681,0.18442249913040942
Cross-industry slope (18 betas),-0.493684742477247,0.4493211156625362,0.27188376223690336
Ibragimov-Muller one-sample t,,,0.08857717253065248
Quadratic term (treat_intensity^2),6.056956269042387,7.165630524836392,
Tercile: high-shock x post,-0.07345130134644884,0.055414739906911994,
Tercile: mid-shock x post,-0.020826994461357346,0.049906287691984,
