industry,tot_jan25,china_jan25,china_share_jan25
Apparel,7718580352.0,1768211979.0,0.2290851294359888
Beverage_Tobacco_Leather,6153271954.0,1207469590.0,0.19623211829847234
Chemical,40799969578.0,2752162285.0,0.06745500826265347
Computer_Electronic,51050724343.0,11214108545.0,0.21966600257529278
Electrical_Equipment,16560792378.0,5290805047.0,0.319477771729601
Fabricated_Metal,8405545128.0,2396031836.0,0.2850537115098575
Food,11112515862.0,510366514.0,0.04592717979780194
Furniture,4040143009.0,1219551854.0,0.30185858552117406
Machinery,20393883014.0,3110417358.0,0.15251717173550322
Misc,12826733327.0,4177172452.0,0.32566144048595297
Nonmetallic_Mineral,2405056939.0,647708515.0,0.2693110938443358
Paper,2343043426.0,278822403.0,0.1190001004275027
Petroleum_Coal,5072877626.0,40637043.0,0.008010649180994062
Plastics_Rubber,6634308196.0,1814497623.0,0.27350216019418705
Primary_Metal,43970324290.0,323809837.0,0.007364281301733379
Printing,473849200.0,189444575.0,0.3997992926863652
Textile_Mills,748667834.0,152049695.0,0.20309366596882536
Textile_Product_Mills,1978696791.0,972001172.0,0.49123300569399875
Transportation_Equipment,38388394644.0,1578383693.0,0.04111616824921584
Wood,2181087118.0,208608518.0,0.09564428503492725
